country,product_category,tariff_percentage,export_loss_(million_$),gdp_impact_(%),employment_loss_(thousands),impact_level
Canada,Chemicals,28.32,3002.91,-3.14,214,High
USA,Energy,11.0,3154.11,-3.36,267,Low
Canada,Electronics,16.13,2222.59,-1.02,306,Low
South Korea,Pharmaceuticals,33.21,3599.95,-1.51,160,High
Japan,Chemicals,12.51,992.03,-4.57,458,Severe
Russia,Pharmaceuticals,26.63,2542.75,-3.57,182,High
Canada,Textiles,7.09,3961.0,-3.96,404,Moderate
France,Machinery,14.77,731.47,-1.33,103,Low
Germany,Agriculture,28.55,1874.74,-4.9,86,Severe
UK,Pharmaceuticals,22.07,4311.62,-4.33,379,Severe
Russia,Electronics,24.71,4401.53,-2.28,123,Severe
Germany,Pharmaceuticals,12.82,1301.93,-1.27,118,Severe
Germany,Chemicals,18.17,2623.67,-3.04,382,Low
France,Electronics,8.77,3823.57,-1.45,51,Low
UK,Aluminum,33.95,2525.95,-0.9,470,Severe
Australia,Chemicals,32.96,1335.25,-3.33,75,Moderate
Australia,Electronics,19.86,1420.01,-1.81,315,Low
Brazil,Chemicals,17.14,2746.06,-1.69,281,Moderate
Brazil,Electronics,29.5,4616.65,-2.98,361,Moderate
India,Energy,21.26,570.55,-0.61,466,Severe
France,Energy,14.95,1080.45,-1.23,443,High
UK,Agriculture,12.63,1762.88,-4.48,332,Moderate
China,Automobiles,13.45,2388.15,-3.11,251,High
USA,Agriculture,25.38,611.17,-1.27,231,Moderate
China,Pharmaceuticals,10.34,1878.46,-2.16,348,Low
France,Textiles,18.75,3574.23,-3.46,383,High
Canada,Electronics,23.35,4332.35,-3.11,221,Severe
Russia,Aluminum,14.41,2107.62,-3.8,322,High
Japan,Electronics,22.3,506.61,-1.3,161,High
USA,Agriculture,34.47,2449.85,-4.96,295,High
China,Chemicals,21.64,684.01,-1.23,489,Low
UK,Pharmaceuticals,9.24,4573.13,-1.63,330,Severe
South Korea,Automobiles,27.41,4220.93,-2.11,376,Low
USA,Machinery,34.0,1794.58,-1.21,183,Moderate
France,Chemicals,32.41,4535.8,-1.83,164,Low
China,Textiles,32.8,4962.91,-0.6,346,Severe
France,Aluminum,29.55,2022.65,-3.23,114,Moderate
France,Energy,21.17,4867.52,-2.15,392,High
China,Chemicals,30.54,2873.95,-3.46,279,Low
UK,Machinery,23.66,3347.89,-4.7,197,Severe
China,Steel,25.87,4502.37,-2.24,467,Severe
Brazil,Aluminum,7.14,4774.88,-4.22,108,High
Germany,Machinery,30.45,2463.1,-1.28,73,Low
Australia,Agriculture,5.55,3843.12,-2.32,476,Low
France,Chemicals,12.16,2848.87,-2.07,326,High
Australia,Energy,19.2,2784.48,-2.04,328,High
China,Energy,21.66,728.61,-4.6,309,Severe
Canada,Agriculture,34.94,4927.68,-1.11,493,Moderate
South Korea,Machinery,15.29,472.77,-2.93,306,Low
Germany,Machinery,20.61,3067.13,-2.95,226,Low
India,Textiles,12.43,700.35,-0.92,197,Low
Brazil,Electronics,13.99,4298.87,-2.08,128,Moderate
Russia,Agriculture,26.17,1549.66,-0.55,275,Severe
Germany,Textiles,31.75,3043.2,-2.8,342,Low
China,Textiles,12.34,703.82,-1.61,323,Severe
Japan,Energy,8.23,4227.53,-4.58,259,Severe
China,Agriculture,6.63,761.38,-4.07,335,High
UK,Machinery,13.36,2433.05,-2.64,356,Severe
Australia,Machinery,34.67,2655.5,-1.0,324,Severe
India,Pharmaceuticals,9.96,3754.28,-1.78,134,High
UK,Automobiles,9.14,2661.41,-0.83,307,Moderate
India,Electronics,5.79,2883.26,-2.16,310,Severe
Germany,Aluminum,16.38,2892.6,-4.79,459,Severe
Canada,Automobiles,15.21,2931.65,-4.62,210,High
Australia,Energy,34.4,2389.92,-0.52,74,High
Germany,Aluminum,22.28,2587.68,-4.83,477,Moderate
South Korea,Agriculture,27.95,4376.13,-3.77,196,Moderate
South Korea,Energy,7.67,353.27,-3.16,493,High
USA,Pharmaceuticals,6.27,1995.48,-1.0,335,Moderate
India,Agriculture,7.08,528.77,-0.94,85,High
UK,Pharmaceuticals,27.38,4249.29,-1.67,260,Moderate
UK,Electronics,31.5,1697.71,-2.35,326,High
China,Steel,10.85,2569.79,-1.84,406,High
Canada,Agriculture,8.51,377.31,-1.11,338,Moderate
UK,Steel,6.02,504.35,-1.34,122,Severe
India,Energy,14.92,2172.95,-2.77,392,High
USA,Electronics,22.71,205.36,-0.86,296,Severe
India,Machinery,7.49,3390.54,-4.87,305,Low
Japan,Machinery,33.14,4287.77,-3.01,121,Moderate
UK,Chemicals,6.5,3344.43,-4.96,246,Moderate
India,Energy,10.93,4629.3,-4.23,493,Low
India,Steel,12.03,1098.72,-3.84,154,Low
Australia,Aluminum,18.22,4655.14,-1.81,138,Severe
Germany,Energy,32.07,3368.67,-1.22,102,Low
Brazil,Electronics,15.94,2591.67,-2.77,171,High
France,Energy,10.98,4143.9,-4.69,370,Moderate
South Korea,Machinery,17.8,2406.92,-1.71,112,High
Russia,Chemicals,26.81,4412.56,-3.04,429,High
Germany,Agriculture,12.51,856.02,-4.82,425,Low
Canada,Energy,34.7,3621.63,-1.5,407,Moderate
Russia,Aluminum,10.71,3088.63,-3.89,76,High
South Korea,Automobiles,14.26,3574.97,-2.41,174,Low
South Korea,Steel,33.9,2189.24,-4.07,434,Moderate
France,Aluminum,24.15,3891.63,-3.09,231,Low
Germany,Agriculture,34.36,1689.02,-1.67,396,Low
Russia,Electronics,29.2,2883.14,-1.31,93,High
Russia,Pharmaceuticals,24.3,928.63,-3.6,420,Moderate
Canada,Electronics,14.43,1451.01,-3.24,73,Moderate
Russia,Chemicals,23.86,2826.8,-0.96,467,Severe
Germany,Machinery,22.17,4088.2,-1.73,173,Severe
Canada,Automobiles,15.37,1125.96,-2.28,484,High
Brazil,Agriculture,27.11,4536.61,-2.97,358,Low
Australia,Aluminum,32.2,457.7,-3.68,479,Severe
Australia,Chemicals,17.06,1235.71,-2.76,429,Low
Germany,Aluminum,32.4,1945.33,-1.86,383,Moderate
China,Automobiles,9.2,4968.1,-1.36,463,High
China,Textiles,24.94,1141.53,-4.88,306,Moderate
Japan,Textiles,29.65,4414.44,-2.52,486,Moderate
Russia,Textiles,30.72,2673.97,-1.87,366,Low
Australia,Aluminum,14.82,3436.87,-2.72,335,Low
China,Machinery,32.43,2718.88,-3.86,357,Moderate
Russia,Electronics,10.43,3459.81,-1.18,416,Severe
Canada,Pharmaceuticals,10.42,3927.05,-0.91,401,Moderate
Germany,Steel,7.36,1709.58,-1.82,131,Severe
Canada,Electronics,26.85,4922.45,-0.54,50,Moderate
Russia,Pharmaceuticals,11.07,1402.15,-3.22,420,Severe
Japan,Aluminum,25.78,4210.04,-4.26,201,Moderate
